epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.801,1.28654,2.52121,1.73653,0.81122,0.8053,0.87998,0.68133,0.87316,1.36995,1.35761,0.00026672,0.00026672,0.00026672
2,21.4645,0.95663,1.12632,1.5343,0.87479,0.8861,0.93784,0.71819,0.87073,1.14398,1.47089,0.000547387,0.000547387,0.000547387
3,28.0688,0.86028,0.86778,1.42108,0.9557,0.93771,0.9715,0.78412,0.7857,0.7141,1.40605,0.000825248,0.000825248,0.000825248
4,34.5465,0.83691,0.72771,1.41096,0.97245,0.96249,0.9803,0.80532,0.74321,0.59519,1.39722,0.0011003,0.0011003,0.0011003
5,41.0086,0.80009,0.66564,1.45671,0.95297,0.95557,0.97486,0.80331,0.75445,0.57249,1.46069,0.00137255,0.00137255,0.00137255
6,46.8104,0.79539,0.62071,1.41412,0.95581,0.96558,0.97909,0.80041,0.72695,0.56222,1.43119,0.00162574,0.00162574,0.00162574
7,52.8747,0.79973,0.59287,1.45044,0.96547,0.96458,0.97788,0.81639,0.74317,0.52114,1.44076,0.00161749,0.00161749,0.00161749
8,59.1707,0.81744,0.59721,1.48104,0.95533,0.95575,0.97915,0.81076,0.74366,0.5105,1.44365,0.00160924,0.00160924,0.00160924
9,65.083,0.75672,0.56316,1.44132,0.9735,0.95437,0.98034,0.83595,0.69579,0.49863,1.39328,0.00160099,0.00160099,0.00160099
10,71.3501,0.75481,0.53066,1.42356,0.96297,0.96587,0.98376,0.82831,0.71946,0.49595,1.49227,0.00159274,0.00159274,0.00159274
11,77.1482,0.71926,0.52088,1.42748,0.96415,0.97507,0.98305,0.83747,0.68289,0.4601,1.47629,0.00158448,0.00158448,0.00158448
12,84.2679,0.73028,0.50592,1.41086,0.94587,0.95825,0.98144,0.83801,0.69894,0.46953,1.52394,0.00157623,0.00157623,0.00157623
13,90.8395,0.72176,0.50006,1.41036,0.96231,0.96592,0.98094,0.84192,0.68659,0.46047,1.53068,0.00156798,0.00156798,0.00156798
14,96.8268,0.71956,0.49463,1.38126,0.97315,0.94097,0.98721,0.82855,0.70344,0.46455,1.40524,0.00155973,0.00155973,0.00155973
15,102.819,0.71331,0.47612,1.40432,0.9779,0.95732,0.98635,0.84015,0.6725,0.44317,1.49661,0.00155148,0.00155148,0.00155148
16,108.846,0.706,0.49731,1.41763,0.95935,0.97143,0.98358,0.83711,0.68078,0.44653,1.5122,0.00154323,0.00154323,0.00154323
17,115.023,0.70524,0.48682,1.41021,0.97335,0.95952,0.98364,0.83875,0.67034,0.44582,1.44431,0.00153497,0.00153497,0.00153497
18,121.263,0.68735,0.47177,1.40023,0.97311,0.95397,0.98346,0.83696,0.67889,0.44907,1.39825,0.00152672,0.00152672,0.00152672
19,127.181,0.67079,0.46516,1.38917,0.97614,0.95288,0.98524,0.84296,0.66836,0.43472,1.49311,0.00151847,0.00151847,0.00151847
