image,class_id,class_name,confidence,cx_px,cy_px,w_mm,h_mm,short_mm,long_mm,angle_deg,box_index,size_label
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9534434676170349,578.7130126953125,458.91015625,22.37,22.75,22.37,22.75,0.01,1,
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.9460527300834656,1070.9859619140625,216.37522888183594,21.71,44.65,21.71,44.65,0.07,2,SHORTEST
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.936895489692688,428.6103515625,1109.641845703125,71.05,20.3,20.3,71.05,0.37,3,LONGEST
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9335821270942688,1358.8134765625,469.74609375,26.21,22.14,22.14,26.21,0.01,4,
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9261825680732727,629.9972534179688,1392.3798828125,25.36,21.56,21.56,25.36,0.01,5,
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.9183679819107056,577.631103515625,745.0642700195312,21.31,67.79,21.31,67.79,1.35,6,IN-BETWEEN
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.8982880115509033,1207.2388916015625,1135.1224365234375,67.19,19.61,19.61,67.19,1.18,7,IN-BETWEEN
1d18dc87-IMG_3323.JPEG,1,Porca,0.9579604864120483,520.8145751953125,1681.8128662109375,25.82,25.79,25.79,25.82,0.01,0,
1d18dc87-IMG_3323.JPEG,1,Porca,0.9570233225822449,1106.816650390625,549.6322631835938,26.11,25.18,25.18,26.11,0.02,1,
1d18dc87-IMG_3323.JPEG,0,Parafuso,0.9306676983833313,1146.0916748046875,1141.7215576171875,22.39,52.13,22.39,52.13,1.04,2,SHORTEST
1d18dc87-IMG_3323.JPEG,0,Parafuso,0.8813738822937012,340.60626220703125,952.2560424804688,89.2,30.09,30.09,89.2,1.33,3,LONGEST
1ef21198-IMG_3486.JPEG,1,Porca,0.950973629951477,857.2858276367188,1057.87158203125,15.86,16.58,15.86,16.58,0.02,0,
1ef21198-IMG_3486.JPEG,1,Porca,0.9282145500183105,450.83233642578125,1022.5139770507812,10.85,12.33,10.85,12.33,0.0,1,
1ef21198-IMG_3486.JPEG,0,Parafuso,0.9253114461898804,1102.6868896484375,1038.518798828125,57.64,17.42,17.42,57.64,1.42,2,LONGEST
1ef21198-IMG_3486.JPEG,0,Parafuso,0.9251927733421326,571.9376831054688,1026.59765625,11.74,31.3,11.74,31.3,0.04,3,SHORTEST
1ef4ab6a-IMG_3338.JPEG,1,Porca,0.9622457027435303,1016.7029418945312,934.3511962890625,28.69,29.12,28.69,29.12,1.56,0,
1ef4ab6a-IMG_3338.JPEG,1,Porca,0.9564340710639954,1269.75,237.6017303466797,20.36,20.36,20.36,20.36,0.01,1,
1ef4ab6a-IMG_3338.JPEG,0,Parafuso,0.9400455951690674,1374.3902587890625,623.6980590820312,25.27,50.22,25.27,50.22,0.51,2,SHORTEST
1ef4ab6a-IMG_3338.JPEG,0,Parafuso,0.9314868450164795,786.6525268554688,289.74456787109375,75.16,25.06,25.06,75.16,0.14,3,LONGEST
2b1703ec-IMG_3481.JPEG,1,Porca,0.9595420360565186,1260.370361328125,704.1859741210938,19.56,17.89,17.89,19.56,0.02,0,
2b1703ec-IMG_3481.JPEG,1,Porca,0.9580619931221008,560.7565307617188,601.3922729492188,17.91,15.97,15.97,17.91,0.0,1,
2b1703ec-IMG_3481.JPEG,0,Parafuso,0.9472337365150452,834.1663208007812,607.3146362304688,16.91,38.55,16.91,38.55,0.17,2,SHORTEST
2b1703ec-IMG_3481.JPEG,0,Parafuso,0.9285890460014343,1618.1600341796875,718.9347534179688,59.27,18.16,18.16,59.27,1.22,3,LONGEST
2c1cbdb1-IMG_3457.JPEG,1,Porca,0.957005500793457,1066.71826171875,605.43505859375,25.0,22.93,22.93,25.0,0.02,0,
2c1cbdb1-IMG_3457.JPEG,0,Parafuso,0.8846886157989502,1069.557861328125,274.2904968261719,24.7,65.24,24.7,65.24,1.57,1,ONLY
2c41bc80-IMG_3405.JPEG,1,Porca,0.9607870578765869,1498.6463623046875,757.3380126953125,18.86,17.66,17.66,18.86,0.01,0,
2c41bc80-IMG_3405.JPEG,1,Porca,0.9574570655822754,452.1634216308594,837.0368041992188,16.93,16.19,16.19,16.93,0.02,1,
2c41bc80-IMG_3405.JPEG,0,Parafuso,0.937807559967041,1066.638427734375,750.5879516601562,38.22,18.03,18.03,38.22,1.57,2,SHORTEST
2c41bc80-IMG_3405.JPEG,0,Parafuso,0.9354584813117981,773.2792358398438,781.1426391601562,52.07,17.8,17.8,52.07,1.52,3,LONGEST
2dbd775b-IMG_3415.JPEG,0,Parafuso,0.9335885643959045,638.7635498046875,933.5359497070312,18.37,42.4,18.37,42.4,1.49,0,LONGEST
2dbd775b-IMG_3415.JPEG,0,Parafuso,0.9293760061264038,714.5118408203125,1315.5577392578125,31.79,16.68,16.68,31.79,0.01,1,SHORTEST
2dd2c2e0-IMG_3208.JPEG,0,Parafuso,0.9420241117477417,1141.35986328125,935.23779296875,78.41,23.37,23.37,78.41,0.08,0,LONGEST
2dd2c2e0-IMG_3208.JPEG,0,Parafuso,0.926286518573761,1051.31005859375,558.4541625976562,44.47,18.94,18.94,44.47,0.0,1,SHORTEST
2ede817e-IMG_3448.JPEG,0,Parafuso,0.9446839094161987,893.9971923828125,879.7616577148438,14.49,33.51,14.49,33.51,0.2,0,SHORTEST
2ede817e-IMG_3448.JPEG,0,Parafuso,0.9342893958091736,569.09765625,882.2100830078125,13.84,47.13,13.84,47.13,0.33,1,LONGEST
2eeb259f-IMG_3425.JPEG,1,Porca,0.9509061574935913,962.4352416992188,1090.500244140625,22.64,20.61,20.61,22.64,0.01,0,
2eeb259f-IMG_3425.JPEG,0,Parafuso,0.9416972398757935,892.7001953125,786.8042602539062,44.4,20.88,20.88,44.4,0.0,1,ONLY
2f961ddc-IMG_3248.JPEG,1,Porca,0.9712368845939636,802.7741088867188,935.1162109375,24.79,25.58,24.79,25.58,0.0,0,
2f961ddc-IMG_3248.JPEG,1,Porca,0.87776118516922,1429.7838134765625,970.0656127929688,32.38,20.17,20.17,32.38,1.57,1,
2feb3dcf-IMG_3443.JPEG,1,Porca,0.9594447612762451,989.7696533203125,1061.26611328125,16.65,15.74,15.74,16.65,0.02,0,
