epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3942,1.64573,3.31364,1.98402,0.04776,0.13866,0.03571,0.02304,1.53054,3.18365,1.81686,1.667e-05,1.667e-05,1.667e-05
2,22.2272,1.624,3.3145,2.02534,0.11302,0.36975,0.10746,0.05638,1.41428,3.02393,1.72852,4.97625e-05,4.97625e-05,4.97625e-05
3,31.4238,1.4215,3.16228,1.79541,0.13087,0.80777,0.27383,0.1498,1.25031,2.71803,1.60784,8.25248e-05,8.25248e-05,8.25248e-05
4,39.8879,1.43913,2.76324,1.90016,0.44006,0.6484,0.53022,0.30736,1.11378,2.28618,1.50856,0.000114957,0.000114957,0.000114957
5,48.5201,1.17577,2.40055,1.61736,0.57845,0.75669,0.74875,0.47393,1.02806,1.77032,1.41817,0.000147059,0.000147059,0.000147059
6,57.1342,1.20789,2.0019,1.60205,0.56175,0.91982,0.83262,0.56984,0.97426,1.37264,1.36949,0.000178832,0.000178832,0.000178832
7,65.8982,1.15826,1.60018,1.49891,0.70071,0.92017,0.88657,0.64435,0.94732,1.15962,1.35742,0.000210274,0.000210274,0.000210274
8,74.8869,1.16566,1.44136,1.4725,0.75336,0.90262,0.91659,0.65105,0.94222,1.15367,1.39576,0.000241386,0.000241386,0.000241386
9,83.2151,1.03563,1.17839,1.47546,0.77607,0.92451,0.92043,0.66324,0.93286,1.18285,1.40657,0.000272168,0.000272168,0.000272168
10,91.4416,1.00564,1.09269,1.40355,0.79185,0.93314,0.92884,0.68653,0.92418,1.1794,1.40016,0.00030262,0.00030262,0.00030262
11,100.007,1.0031,1.07213,1.43484,0.82578,0.93487,0.93803,0.68543,0.91951,1.13225,1.39792,0.000332742,0.000332742,0.000332742
12,108.645,0.97485,1.07306,1.4323,0.82625,0.91702,0.94466,0.69889,0.91033,1.048,1.39394,0.000362533,0.000362533,0.000362533
13,117.225,0.98502,0.98507,1.39492,0.82998,0.95605,0.94977,0.73071,0.89682,0.97276,1.39504,0.000391995,0.000391995,0.000391995
14,125.692,0.93354,0.94189,1.3525,0.79729,0.95696,0.95097,0.7429,0.87935,0.97805,1.3725,0.000421127,0.000421127,0.000421127
15,134.337,1.00563,0.9823,1.46178,0.8243,0.9321,0.96921,0.75877,0.87334,1.03121,1.36554,0.000449928,0.000449928,0.000449928
16,142.871,0.97091,0.95458,1.41974,0.83817,0.93803,0.9762,0.76511,0.88248,1.02574,1.35978,0.0004784,0.0004784,0.0004784
17,151.744,0.9312,0.90709,1.43741,0.87302,0.95511,0.98094,0.76081,0.89218,0.96066,1.3633,0.000506541,0.000506541,0.000506541
18,160.144,0.93215,0.8892,1.44584,0.90407,0.97501,0.98204,0.75546,0.89581,0.86843,1.3461,0.000534353,0.000534353,0.000534353
