image,class_id,class_name,confidence,cx_px,cy_px,w_px,h_px,angle_rad,long_side_px,short_side_px,length_label
1ca36804-IMG_2992.JPEG,0,Parafuso,0.9228814244270325,728.1713256835938,372.9709167480469,423.4932556152344,126.35921478271484,0.09746330231428146,423.4932556152344,126.35921478271484,SHORTER
1ca36804-IMG_2992.JPEG,1,Porca,0.9213810563087463,263.2599182128906,394.6388244628906,137.210693359375,186.58035278320312,1.5628052949905396,186.58035278320312,137.210693359375,N/A
1ca36804-IMG_2992.JPEG,1,Porca,0.910919725894928,1567.1600341796875,588.0070190429688,162.9261016845703,242.4599609375,0.007218529470264912,242.4599609375,162.9261016845703,N/A
1ca36804-IMG_2992.JPEG,0,Parafuso,0.8984576463699341,956.3222045898438,141.78970336914062,283.6843566894531,181.8268585205078,0.06165771558880806,283.6843566894531,181.8268585205078,SHORTER
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9551182985305786,1348.9124755859375,994.6209106445312,220.9866943359375,228.18179321289062,0.003730839118361473,228.18179321289062,220.9866943359375,N/A
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9534434676170349,578.7130126953125,458.91015625,223.66796875,227.4514923095703,0.009656569920480251,227.4514923095703,223.66796875,N/A
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.9460527300834656,1070.9859619140625,216.37522888183594,217.1481475830078,446.4967956542969,0.07195375859737396,446.4967956542969,217.1481475830078,SHORTER
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.936895489692688,428.6103515625,1109.641845703125,710.4632568359375,203.0054168701172,0.3664741516113281,710.4632568359375,203.0054168701172,LONGEST
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9335821270942688,1358.8134765625,469.74609375,262.10638427734375,221.4004364013672,0.011941157281398773,262.10638427734375,221.4004364013672,N/A
1cc2ffa5-IMG_2980.JPEG,1,Porca,0.9261825680732727,629.9972534179688,1392.3798828125,253.6256103515625,215.6399383544922,0.010817167349159718,253.6256103515625,215.6399383544922,N/A
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.9183679819107056,577.631103515625,745.0642700195312,213.09471130371094,677.927490234375,1.3505476713180542,677.927490234375,213.09471130371094,SHORTER
1cc2ffa5-IMG_2980.JPEG,0,Parafuso,0.8982880115509033,1207.2388916015625,1135.1224365234375,671.9006958007812,196.1103515625,1.1755387783050537,671.9006958007812,196.1103515625,SHORTER
1d18dc87-IMG_3323.JPEG,1,Porca,0.9579604864120483,520.8145751953125,1681.8128662109375,258.1998291015625,257.91009521484375,0.007863711565732956,258.1998291015625,257.91009521484375,N/A
1d18dc87-IMG_3323.JPEG,1,Porca,0.9570233225822449,1106.816650390625,549.6322631835938,261.09576416015625,251.78677368164062,0.020966308191418648,261.09576416015625,251.78677368164062,N/A
1d18dc87-IMG_3323.JPEG,0,Parafuso,0.9306676983833313,1146.0916748046875,1141.7215576171875,223.8975830078125,521.2794189453125,1.0430936813354492,521.2794189453125,223.8975830078125,SHORTER
1d18dc87-IMG_3323.JPEG,0,Parafuso,0.8813738822937012,340.60626220703125,952.2560424804688,891.9640502929688,300.8666076660156,1.327312707901001,891.9640502929688,300.8666076660156,LONGEST
1ef21198-IMG_3486.JPEG,1,Porca,0.950973629951477,857.2858276367188,1057.87158203125,158.5872039794922,165.8025665283203,0.018899403512477875,165.8025665283203,158.5872039794922,N/A
1ef21198-IMG_3486.JPEG,1,Porca,0.9282145500183105,450.83233642578125,1022.5139770507812,108.54003143310547,123.261474609375,0.0007315058610402048,123.261474609375,108.54003143310547,N/A
1ef21198-IMG_3486.JPEG,0,Parafuso,0.9253114461898804,1102.6868896484375,1038.518798828125,576.3550415039062,174.2050018310547,1.4199188947677612,576.3550415039062,174.2050018310547,LONGEST
1ef21198-IMG_3486.JPEG,0,Parafuso,0.9251927733421326,571.9376831054688,1026.59765625,117.4320068359375,313.0199890136719,0.03847526013851166,313.0199890136719,117.4320068359375,SHORTER
1ef4ab6a-IMG_3338.JPEG,1,Porca,0.9622457027435303,1016.7029418945312,934.3511962890625,286.8561096191406,291.17547607421875,1.5577068328857422,291.17547607421875,286.8561096191406,N/A
1ef4ab6a-IMG_3338.JPEG,1,Porca,0.9564340710639954,1269.75,237.6017303466797,203.57131958007812,203.5609893798828,0.010546679608523846,203.57131958007812,203.5609893798828,N/A
1ef4ab6a-IMG_3338.JPEG,0,Parafuso,0.9400455951690674,1374.3902587890625,623.6980590820312,252.741455078125,502.202880859375,0.5118053555488586,502.202880859375,252.741455078125,SHORTER
1ef4ab6a-IMG_3338.JPEG,0,Parafuso,0.9314868450164795,786.6525268554688,289.74456787109375,751.5929565429688,250.6374053955078,0.14204855263233185,751.5929565429688,250.6374053955078,LONGEST
2b1703ec-IMG_3481.JPEG,1,Porca,0.9595420360565186,1260.370361328125,704.1859741210938,195.55113220214844,178.8949432373047,0.017168713733553886,195.55113220214844,178.8949432373047,N/A
2b1703ec-IMG_3481.JPEG,1,Porca,0.9580619931221008,560.7565307617188,601.3922729492188,179.0631561279297,159.74510192871094,0.003062531352043152,179.0631561279297,159.74510192871094,N/A
2b1703ec-IMG_3481.JPEG,0,Parafuso,0.9472337365150452,834.1663208007812,607.3146362304688,169.07437133789062,385.4561462402344,0.16571356356143951,385.4561462402344,169.07437133789062,SHORTER
2b1703ec-IMG_3481.JPEG,0,Parafuso,0.9285890460014343,1618.1600341796875,718.9347534179688,592.7301635742188,181.57766723632812,1.2200740575790405,592.7301635742188,181.57766723632812,LONGEST
2c1cbdb1-IMG_3457.JPEG,1,Porca,0.957005500793457,1066.71826171875,605.43505859375,250.03506469726562,229.25376892089844,0.019783146679401398,250.03506469726562,229.25376892089844,N/A
2c1cbdb1-IMG_3457.JPEG,0,Parafuso,0.8846886157989502,1069.557861328125,274.2904968261719,247.0216827392578,652.37109375,1.5674712657928467,652.37109375,247.0216827392578,ONLY_ONE
2c41bc80-IMG_3405.JPEG,1,Porca,0.9607870578765869,1498.6463623046875,757.3380126953125,188.6421356201172,176.5748291015625,0.013639358803629875,188.6421356201172,176.5748291015625,N/A
2c41bc80-IMG_3405.JPEG,1,Porca,0.9574570655822754,452.1634216308594,837.0368041992188,169.26734924316406,161.9193115234375,0.023245839402079582,169.26734924316406,161.9193115234375,N/A
