image,class_id,class_name,confidence,cx_px,cy_px,w_px,h_px,angle_rad,w_mm,h_mm,long_side_mm,short_side_mm
04eee9b2-IMG_3206.JPEG,0,Parafuso,0.9528886079788208,638.1276245117188,843.7574462890625,386.0672607421875,170.02682495117188,0.08535034209489822,38.60672607421875,17.002682495117188,38.60672607421875,17.002682495117188
04eee9b2-IMG_3206.JPEG,0,Parafuso,0.9435423016548157,666.722412109375,1240.5152587890625,563.9413452148438,177.7079620361328,0.20247021317481995,56.394134521484375,17.77079620361328,56.394134521484375,17.77079620361328
0ba11135-IMG_3264.JPEG,0,Parafuso,0.9361009001731873,1011.6791381835938,132.3517303466797,183.4604034423828,428.85919189453125,1.0946018695831299,18.346040344238283,42.885919189453126,42.885919189453126,18.346040344238283
0ba11135-IMG_3264.JPEG,0,Parafuso,0.882924497127533,888.9970092773438,429.9541015625,740.2919311523438,237.522216796875,0.0024552345275878906,74.02919311523438,23.7522216796875,74.02919311523438,23.7522216796875
0bc4a5dd-IMG_3404.JPEG,1,Porca,0.9687254428863525,455.6198425292969,776.8551635742188,156.2212677001953,147.6309051513672,0.006421297788619995,15.62212677001953,14.763090515136719,15.62212677001953,14.763090515136719
0bc4a5dd-IMG_3404.JPEG,1,Porca,0.9633893966674805,1436.691162109375,697.7673950195312,183.92971801757812,169.43106079101562,0.013637392781674862,18.392971801757813,16.94310607910156,18.392971801757813,16.94310607910156
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9388905763626099,741.0199584960938,731.3585205078125,471.9145202636719,169.1720428466797,1.4490103721618652,47.19145202636719,16.917204284667967,47.19145202636719,16.917204284667967
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9387360215187073,1017.8287963867188,700.1027221679688,354.15289306640625,172.58360290527344,1.566015601158142,35.415289306640624,17.258360290527342,35.415289306640624,17.258360290527342
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9553187489509583,663.9300537109375,1401.5140380859375,229.87925720214844,230.50682067871094,1.5624544620513916,22.987925720214843,23.050682067871094,23.050682067871094,22.987925720214843
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9520046710968018,818.2691040039062,523.8370361328125,173.4471893310547,181.6630096435547,0.016926033422350883,17.34471893310547,18.166300964355468,18.166300964355468,17.34471893310547
0cdc4eb5-IMG_3315.JPEG,0,Parafuso,0.9395606517791748,1050.194091796875,977.3031616210938,546.1854248046875,197.8578643798828,1.0745198726654053,54.61854248046875,19.785786437988282,54.61854248046875,19.785786437988282
