epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,144.077,0.63977,0.44947,1.38806,0.97431,0.97255,0.98893,0.83318,0.70215,0.42046,1.34181,0.00132868,0.00132868,0.00132868
43,147.165,0.68151,0.44131,1.38167,0.97579,0.97404,0.9893,0.84137,0.70244,0.40395,1.36458,0.00132043,0.00132043,0.00132043
44,150.534,0.65852,0.41977,1.35111,0.9696,0.94515,0.98616,0.83329,0.70958,0.41653,1.47154,0.00131218,0.00131218,0.00131218
45,153.962,0.62202,0.43264,1.28168,0.9878,0.9422,0.98869,0.8461,0.69788,0.40449,1.50357,0.00130393,0.00130393,0.00130393
46,157.252,0.65228,0.42838,1.39755,0.96687,0.96657,0.98814,0.84957,0.6912,0.41234,1.41871,0.00129568,0.00129568,0.00129568
47,160.515,0.6269,0.43277,1.33397,0.97421,0.95494,0.98291,0.82929,0.70517,0.4275,1.42813,0.00128742,0.00128742,0.00128742
48,163.716,0.6342,0.41694,1.31739,0.96839,0.96494,0.98355,0.84077,0.69671,0.42576,1.36017,0.00127917,0.00127917,0.00127917
49,167.059,0.67335,0.46453,1.3822,0.97604,0.95954,0.98333,0.83583,0.69025,0.41683,1.34929,0.00127092,0.00127092,0.00127092
50,170.37,0.62106,0.41261,1.30936,0.98098,0.94879,0.98076,0.83239,0.70355,0.4151,1.53085,0.00126267,0.00126267,0.00126267
51,173.63,0.60002,0.4034,1.32285,0.97448,0.94516,0.98787,0.85166,0.67883,0.40459,1.43238,0.00125442,0.00125442,0.00125442
52,176.881,0.62676,0.42897,1.32547,0.97681,0.95928,0.9855,0.83654,0.70585,0.41211,1.3804,0.00124617,0.00124617,0.00124617
53,180.029,0.66515,0.42973,1.34309,0.98046,0.9434,0.98275,0.83142,0.71259,0.41436,1.36983,0.00123791,0.00123791,0.00123791
54,183.239,0.60612,0.41014,1.27728,0.98066,0.94091,0.98135,0.83519,0.70545,0.43067,1.40366,0.00122966,0.00122966,0.00122966
55,186.316,0.60905,0.40327,1.31383,0.98035,0.9434,0.98146,0.84076,0.6962,0.4102,1.45967,0.00122141,0.00122141,0.00122141
56,189.606,0.59561,0.40357,1.32241,0.97337,0.95749,0.98065,0.83872,0.66399,0.40348,1.4319,0.00121316,0.00121316,0.00121316
57,192.759,0.59122,0.39355,1.29306,0.97436,0.96532,0.97992,0.83537,0.69615,0.41473,1.49244,0.00120491,0.00120491,0.00120491
58,195.913,0.63105,0.40956,1.31603,0.95486,0.97381,0.98258,0.83074,0.70663,0.42503,1.38829,0.00119666,0.00119666,0.00119666
59,199.003,0.60084,0.39697,1.2863,0.975,0.97435,0.98328,0.82294,0.72027,0.40589,1.54351,0.0011884,0.0011884,0.0011884
60,202.12,0.59446,0.39629,1.30495,0.97578,0.96588,0.98659,0.84628,0.68026,0.39314,1.54271,0.00118015,0.00118015,0.00118015
61,205.131,0.58599,0.40207,1.34264,0.96819,0.96555,0.98838,0.84505,0.65749,0.37688,1.51662,0.0011719,0.0011719,0.0011719
62,208.327,0.59178,0.39612,1.27097,0.97308,0.95819,0.98371,0.82867,0.68722,0.40282,1.48501,0.00116365,0.00116365,0.00116365
63,211.469,0.60889,0.41573,1.35462,0.98298,0.94875,0.98521,0.84421,0.69538,0.40659,1.41585,0.0011554,0.0011554,0.0011554
64,214.759,0.58677,0.40671,1.29217,0.98289,0.9506,0.98935,0.85194,0.68583,0.39862,1.53974,0.00114715,0.00114715,0.00114715
65,218.288,0.57566,0.39499,1.31584,0.97195,0.95928,0.98916,0.85033,0.6801,0.3977,1.52614,0.00113889,0.00113889,0.00113889
66,221.563,0.5854,0.39202,1.35514,0.9803,0.95041,0.9893,0.85064,0.66677,0.39696,1.40088,0.00113064,0.00113064,0.00113064
67,224.861,0.58207,0.39102,1.29644,0.98203,0.94251,0.98232,0.83861,0.67105,0.41501,1.39607,0.00112239,0.00112239,0.00112239
68,228.014,0.58271,0.39136,1.29511,0.97094,0.95928,0.97592,0.83947,0.68489,0.42479,1.36034,0.00111414,0.00111414,0.00111414
69,231.15,0.60553,0.40239,1.31308,0.96954,0.95639,0.97975,0.83986,0.70589,0.425,1.40005,0.00110589,0.00110589,0.00110589
70,234.402,0.61015,0.40473,1.32707,0.98298,0.93675,0.97694,0.81758,0.74596,0.4293,1.44039,0.00109764,0.00109764,0.00109764
71,237.511,0.59405,0.39315,1.29303,0.96835,0.94932,0.98132,0.82935,0.69743,0.41687,1.42618,0.00108938,0.00108938,0.00108938
72,240.597,0.58096,0.37997,1.24215,0.96937,0.95014,0.97764,0.82016,0.71201,0.43217,1.4614,0.00108113,0.00108113,0.00108113
73,243.747,0.56349,0.39475,1.26407,0.97605,0.9505,0.97896,0.8246,0.70512,0.41396,1.4909,0.00107288,0.00107288,0.00107288
74,246.854,0.57321,0.40212,1.31632,0.97635,0.95086,0.97986,0.82668,0.69089,0.40695,1.4538,0.00106463,0.00106463,0.00106463
75,249.965,0.558,0.38648,1.27814,0.98324,0.95874,0.98486,0.84599,0.69528,0.40619,1.45885,0.00105638,0.00105638,0.00105638
76,253.176,0.54428,0.38356,1.26353,0.96214,0.95928,0.98852,0.83604,0.71041,0.40933,1.41605,0.00104813,0.00104813,0.00104813
77,256.262,0.58805,0.41132,1.31661,0.97234,0.95579,0.98946,0.83709,0.67999,0.39788,1.42224,0.00103987,0.00103987,0.00103987
78,259.458,0.56629,0.39591,1.30995,0.96643,0.98294,0.99002,0.84356,0.66968,0.38936,1.41647,0.00103162,0.00103162,0.00103162
