epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,59.8604,0.79737,0.60143,1.40734,0.99614,0.96645,0.98977,0.77709,0.85571,0.51138,1.49897,0.00108292,0.00108292,0.00108292
42,61.2172,0.77984,0.57291,1.36588,0.99022,0.96429,0.99034,0.77764,0.85917,0.50489,1.45834,0.00110281,0.00110281,0.00110281
43,62.2695,0.73992,0.55575,1.36544,0.99022,0.96429,0.99034,0.77764,0.85917,0.50489,1.45834,0.00112237,0.00112237,0.00112237
44,63.4035,0.77592,0.55393,1.30898,0.97806,0.97289,0.99164,0.78722,0.86363,0.50085,1.48734,0.0011416,0.0011416,0.0011416
45,64.8638,0.79868,0.57565,1.32113,0.97806,0.97289,0.99164,0.78722,0.86363,0.50085,1.48734,0.0011605,0.0011605,0.0011605
46,66.0041,0.79406,0.56883,1.40959,0.99625,0.97304,0.99313,0.77853,0.86488,0.5011,1.50894,0.00117906,0.00117906,0.00117906
47,66.8875,0.7572,0.56866,1.29704,0.99625,0.97304,0.99313,0.77853,0.86488,0.5011,1.50894,0.0011973,0.0011973,0.0011973
48,68.0095,0.7604,0.54587,1.24069,0.99519,0.97387,0.99313,0.78553,0.85139,0.49828,1.57007,0.00121521,0.00121521,0.00121521
49,69.0265,0.7521,0.56865,1.32827,0.99519,0.97387,0.99313,0.78553,0.85139,0.49828,1.57007,0.00123279,0.00123279,0.00123279
50,70.083,0.79605,0.56889,1.45307,0.99346,0.97341,0.99313,0.80795,0.83026,0.48679,1.53891,0.00125004,0.00125004,0.00125004
51,71.3703,0.72903,0.5362,1.24634,0.99346,0.97341,0.99313,0.80795,0.83026,0.48679,1.53891,0.00125442,0.00125442,0.00125442
52,72.9519,0.76848,0.55091,1.33768,0.99428,0.97337,0.99313,0.78868,0.84669,0.47075,1.49847,0.00124617,0.00124617,0.00124617
53,74.1381,0.76076,0.54557,1.39069,0.99428,0.97337,0.99313,0.78868,0.84669,0.47075,1.49847,0.00123791,0.00123791,0.00123791
54,75.2246,0.74858,0.52051,1.27471,0.99565,0.97377,0.99273,0.79328,0.8487,0.46648,1.50626,0.00122966,0.00122966,0.00122966
55,76.2857,0.73859,0.53532,1.28135,0.99565,0.97377,0.99273,0.79328,0.8487,0.46648,1.50626,0.00122141,0.00122141,0.00122141
56,77.3094,0.73988,0.53251,1.34237,0.99338,0.95772,0.99077,0.78239,0.85626,0.47547,1.54362,0.00121316,0.00121316,0.00121316
57,78.407,0.79234,0.54029,1.39235,0.99338,0.95772,0.99077,0.78239,0.85626,0.47547,1.54362,0.00120491,0.00120491,0.00120491
58,79.471,0.73779,0.50929,1.30241,0.99538,0.97602,0.99167,0.78854,0.87701,0.49824,1.49967,0.00119666,0.00119666,0.00119666
59,80.6225,0.79918,0.55571,1.34741,0.99538,0.97602,0.99167,0.78854,0.87701,0.49824,1.49967,0.0011884,0.0011884,0.0011884
60,81.7749,0.73822,0.51189,1.29586,0.99425,0.97962,0.9905,0.73489,0.98897,0.50956,1.51743,0.00118015,0.00118015,0.00118015
61,82.8389,0.76328,0.51517,1.21004,0.99425,0.97962,0.9905,0.73489,0.98897,0.50956,1.51743,0.0011719,0.0011719,0.0011719
62,83.7909,0.77144,0.51162,1.34233,0.99484,0.97935,0.99024,0.76006,0.94991,0.48895,1.5202,0.00116365,0.00116365,0.00116365
63,84.9422,0.76661,0.50176,1.28784,0.99484,0.97935,0.99024,0.76006,0.94991,0.48895,1.5202,0.0011554,0.0011554,0.0011554
64,86.0149,0.73328,0.49337,1.26398,0.9711,0.95783,0.98962,0.77633,0.876,0.47618,1.5414,0.00114715,0.00114715,0.00114715
65,87.3005,0.75548,0.51696,1.36283,0.9711,0.95783,0.98962,0.77633,0.876,0.47618,1.5414,0.00113889,0.00113889,0.00113889
66,88.4145,0.76618,0.51079,1.43318,0.97367,0.9558,0.9905,0.78613,0.86775,0.48118,1.52925,0.00113064,0.00113064,0.00113064
67,89.6575,0.69028,0.47908,1.30385,0.97367,0.9558,0.9905,0.78613,0.86775,0.48118,1.52925,0.00112239,0.00112239,0.00112239
68,90.768,0.71367,0.49192,1.32212,0.97985,0.96429,0.99173,0.7727,0.88977,0.47596,1.48728,0.00111414,0.00111414,0.00111414
69,91.9978,0.7281,0.47735,1.29592,0.97985,0.96429,0.99173,0.7727,0.88977,0.47596,1.48728,0.00110589,0.00110589,0.00110589
70,93.1132,0.72086,0.46817,1.26701,0.98308,0.96684,0.99326,0.77876,0.876,0.48019,1.4739,0.00109764,0.00109764,0.00109764
71,94.1501,0.71565,0.4751,1.2325,0.98308,0.96684,0.99326,0.77876,0.876,0.48019,1.4739,0.00108938,0.00108938,0.00108938
72,95.2096,0.71412,0.48029,1.3106,0.98249,0.96947,0.99371,0.78441,0.84342,0.47291,1.48816,0.00108113,0.00108113,0.00108113
73,96.3672,0.68826,0.48101,1.33283,0.98249,0.96947,0.99371,0.78441,0.84342,0.47291,1.48816,0.00107288,0.00107288,0.00107288
74,97.6136,0.7307,0.48055,1.32086,0.98179,0.96957,0.99371,0.79869,0.83819,0.47295,1.47012,0.00106463,0.00106463,0.00106463
75,98.7011,0.7283,0.49316,1.33006,0.98179,0.96957,0.99371,0.79869,0.83819,0.47295,1.47012,0.00105638,0.00105638,0.00105638
76,99.8781,0.69109,0.48294,1.342,1,0.96823,0.99313,0.80427,0.85499,0.47465,1.44177,0.00104813,0.00104813,0.00104813
